GO_ID	GO_NAME	ANNOTATION_EXTENSION
GO:0004197	cysteine-type endopeptidase activity	GO:0016540
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	activated_by(CHEBI:14321
GO:0003876	AMP deaminase activity	activated_by(CHEBI:15422
GO:0003938	IMP dehydrogenase activity	activated_by(CHEBI:15422)
GO:0051063	CDP reductase activity	activated_by(CHEBI:15422)
GO:0008017	microtubule binding	activated_by(CHEBI:15422)
GO:0003697	single-stranded DNA binding	activated_by(CHEBI:15422)
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	activated_by(CHEBI:15422)
GO:0015278	calcium-release channel activity	activated_by(CHEBI:15422)
GO:0005515	protein binding	activated_by(CHEBI:16235)
GO:0003984	acetolactate synthase activity	activated_by(CHEBI:16238
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	activated_by(CHEBI:16240
GO:0038181	bile acid receptor activity	activated_by(CHEBI:16325)
GO:0004725	protein tyrosine phosphatase activity	activated_by(CHEBI:16356)
GO:0030284	estrogen receptor activity	activated_by(CHEBI:16469)
GO:0038181	bile acid receptor activity	activated_by(CHEBI:16755)
GO:0008553	hydrogen-exporting ATPase activity, phosphorylative mechanism	activated_by(CHEBI:17234)
GO:0004707	MAP kinase activity	activated_by(CHEBI:17489)
GO:0045762	positive regulation of adenylate cyclase activity	activated_by(CHEBI:17489)
GO:0031284	positive regulation of guanylate cyclase activity	activated_by(CHEBI:17489)
GO:0005515	protein binding	activated_by(CHEBI:17489)
GO:0031434	mitogen-activated protein kinase kinase binding	activated_by(CHEBI:17489)
GO:0090630	activation of GTPase activity	activated_by(CHEBI:17489)
GO:0015233	pantothenate transmembrane transporter activity	activated_by(CHEBI:17634)
GO:0004016	adenylate cyclase activity	activated_by(CHEBI:17992)
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity	activated_by(CHEBI:18291)
GO:0004359	glutaminase activity	activated_by(CHEBI:18302)
GO:0043565	sequence-specific DNA binding	activated_by(CHEBI:18420
GO:0004743	pyruvate kinase activity	activated_by(CHEBI:18420
GO:0052658	inositol-1,4,5-trisphosphate 5-phosphatase activity	activated_by(CHEBI:18420)
GO:0005388	calcium-transporting ATPase activity	activated_by(CHEBI:18420)
GO:0052642	lysophosphatidic acid phosphatase activity	activated_by(CHEBI:18420)
GO:0030946	protein tyrosine phosphatase activity, metal-dependent	activated_by(CHEBI:18420)
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	activated_by(CHEBI:18420)
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	activated_by(CHEBI:18420)
GO:0003999	adenine phosphoribosyltransferase activity	activated_by(CHEBI:18420)
GO:0000175	3'-5'-exoribonuclease activity	activated_by(CHEBI:18420)
GO:0008821	crossover junction endodeoxyribonuclease activity	activated_by(CHEBI:18420)
GO:0004788	thiamine diphosphokinase activity	activated_by(CHEBI:18420)
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	activated_by(CHEBI:18420)
GO:0004371	glycerone kinase activity	activated_by(CHEBI:18420)
GO:0052657	guanine phosphoribosyltransferase activity	activated_by(CHEBI:18420)
GO:1990439	MAP kinase threonine phosphatase activity	activated_by(CHEBI:18420)
GO:0004651	polynucleotide 5'-phosphatase activity	activated_by(CHEBI:18420)
