GO_ID	ANNOTATION_EXTENSION	DEPRECATED_RELATION
GO:0032153	independent_of(GO:0015630)	independent_of
GO:0032153	independent_of(GO:0031941)	independent_of
GO:0000122	not_happens_during(GO:0000080)	not_happens_during
GO:0031097	exists_during(GO:0000910),independent_of(GO:0007010)	independent_of
GO:0051285	independent_of(GO:0015629)	independent_of
GO:0051285	independent_of(GO:0015630)	independent_of
GO:2000784	independent_of(PomBase:SPAC2F7.03c)	independent_of
GO:1903067	has_input(PomBase:SPBC28E12.03),independent_of(PomBase:SPAC2F7.03c)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000286)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0001796)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0001798)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0001799)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000655)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000296)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000253)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000252)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000275)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000274)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000286)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000655)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000296)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000252)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000275)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000274)	independent_of
GO:0003682	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000204)	independent_of
GO:0033562	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000286)	independent_of
GO:0033562	independent_of(PomBase:SPBC428.08c),occurs_at(SO:0000286)	independent_of
GO:0010971	independent_of(PomBase:SPAC24H6.05)	independent_of
GO:0010971	independent_of(PomBase:SPBC216.05)	independent_of
GO:0010971	independent_of(PomBase:SPCC1259.13)	independent_of
GO:0010971	independent_of(PomBase:SPCC18B5.11c)	independent_of
GO:0010971	independent_of(PomBase:SPAC1782.09c)	independent_of
GO:0010971	independent_of(PomBase:SPAC2F7.03c)	independent_of
GO:0010971	independent_of(PomBase:SPBC649.05)	independent_of
GO:0005938	independent_of(GO:0015629)	independent_of
GO:0005938	independent_of(GO:0015630)	independent_of
GO:0051285	independent_of(GO:0015629)	independent_of
GO:0051285	independent_of(GO:0015630)	independent_of
GO:0000978	independent_of(PomBase:SPBC106.10),inhibited_by(CHEBI:17489),occurs_at(SO:0001859),part_of(GO:0061406)	independent_of
GO:0000978	activated_by(CHEBI:16240),independent_of(PomBase:SPAC24B11.06c),occurs_at(SO:0001859),part_of(GO:0061406)	independent_of
GO:0000978	activated_by(CHEBI:28939),independent_of(PomBase:SPAC24B11.06c),occurs_at(SO:0001859),part_of(GO:0061406)	independent_of
GO:0072686	exists_during(GO:0000087),independent_of(GO:0031028)	independent_of
GO:0032153	exists_during(GO:0000087),independent_of(GO:0031028)	independent_of GO:0032153	independent_of(GO:0015629)	independent_of
GO:0071944	independent_of(GO:0015629)	independent_of
GO:0071944	independent_of(GO:0015630)	independent_of
GO:0000790	not_exists_during(GO:0006995)	not_exists_during
GO:0000790	independent_of(PomBase:SPCC16A11.17)	independent_of
GO:1990190	independent_of(PomBase:SPCC338.07c)	independent_of
GO:0000790	not_exists_during(GO:0044838)	not_exists_during
GO:0000790	not_exists_during(GO:0044838)	not_exists_during
GO:0000790	not_exists_during(GO:0044838)	not_exists_during
GO:0000790	not_exists_during(GO:0044838)	not_exists_during
GO:0000790	not_exists_during(GO:0044838)	not_exists_during
GO:0000790	not_exists_during(GO:0044838)	not_exists_during
GO:0005634	not_exists_during(GO:0051329)	not_exists_during
GO:0000790	independent_of(PomBase:SPAC17D4.02)	independent_of
GO:0051285	exists_during(GO:0051329),independent_of(GO:0006887),independent_of(GO:0030050)	independent_of
GO:0004672	has_direct_input(PomBase:SPBC16G5.15c),not_happens_during(GO:0042149)	not_happens_during
GO:0005634	not_exists_during(GO:0000910)	not_exists_during
GO:0005886	not_exists_during(GO:0043934)	not_exists_during
GO:0007129	independent_of(GO:0007131)	independent_of
GO:0005515	not_happens_during(GO:0071472)	not_happens_during
GO:0005515	not_happens_during(GO:0071472)	not_happens_during
GO:1990188	independent_of(PomBase:SPCC736.11),occurs_at(SO:0001843)	independent_of
GO:1990188	independent_of(PomBase:SPCC736.11),occurs_at(SO:0001843)	independent_of
