GP ID	SOURCE	GO_ID	GO_NAME	REL	TARGET_ID	TARGET_NAME
A0A060VXQ0	AgBase	GO:0090632	N-glycolylneuraminic acid (Neu5Gc) cytidylyltransferase activity	dependent_on	CHEBI:18420	magnesium(2+)
A0A060VXQ0	AgBase	GO:0090632	N-glycolylneuraminic acid (Neu5Gc) cytidylyltransferase activity	dependent_on	CHEBI:29035	manganese(2+)
A0A060VXQ0	AgBase	GO:0090633	keto-deoxynonulosonic acid (KDN) cytidylyltransferase activity	dependent_on	CHEBI:18420	magnesium(2+)
A0A060VXQ0	AgBase	GO:0090633	keto-deoxynonulosonic acid (KDN) cytidylyltransferase activity	dependent_on	CHEBI:29035	manganese(2+)
A0A060YD78	AgBase	GO:1901224	positive regulation of NIK/NF-kappaB signaling	dependent_on	GO:0016567	protein ubiquitination
A0A077K956	AgBase	GO:0001661	conditioned taste aversion	dependent_on	GO:0050909	sensory perception of taste
A0A087QWT3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A087QWT3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A087QWT3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091CTW8	AgBase	GO:0050750	low-density lipoprotein particle receptor binding	dependent_on	GO:0001595	angiotensin receptor activity
A0A091F582	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091F582	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091F582	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091G648	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091G648	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091G648	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091GKK1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091GKK1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091GKK1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091H0S9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091H0S9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091H0S9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091HWD1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091HWD1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091HWD1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091JI47	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091JI47	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091JI47	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091MG24	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091MG24	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091MG24	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091N3Z3	AgBase	GO:0017148	negative regulation of translation	dependent_on	GO:0003730	mRNA 3'-UTR binding
A0A091PG19	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091PG19	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091PG19	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091RSX0	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091RSX0	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091RSX0	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091S7Q8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091S7Q8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091S7Q8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091UFP1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091UFP1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091UFP1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091VJE2	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091VJE2	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091VJE2	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091W8F6	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091W8F6	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091W8F6	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091WAQ9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091WAQ9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091WAQ9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A091WHV2	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A091WHV2	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A091WHV2	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093C2V3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093C2V3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093C2V3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093FBM1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093FBM1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093FBM1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093GA70	AgBase	GO:0017148	negative regulation of translation	dependent_on	GO:0003730	mRNA 3'-UTR binding
A0A093H4Z9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093H4Z9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093H4Z9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093HPP5	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093HPP5	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093HPP5	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093IGC8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093IGC8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093IGC8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093ITC9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093ITC9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093ITC9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093PCK1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093PCK1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093PCK1	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A093Q0P8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A093Q0P8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A093Q0P8	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A094KKN9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
A0A094KKN9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9I9E2	
A0A094KKN9	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:Q9PTI7	
A0A094L2B3	AgBase	GO:0001046	core promoter sequence-specific DNA binding	dependent_on	UniProtKB:F1NLX8	
