GO_ID	GO_NAME	ANNOTATION_EXTENSION
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity	activated_by(CHEBI:14321
GO:0003938	IMP dehydrogenase activity	activated_by(CHEBI:15422)
GO:0051063	CDP reductase activity	activated_by(CHEBI:15422)
GO:0003697	single-stranded DNA binding	activated_by(CHEBI:15422)
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	activated_by(CHEBI:15422)
GO:0015278	calcium-release channel activity	activated_by(CHEBI:15422)
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	activated_by(CHEBI:16240
GO:0038181	bile acid receptor activity	activated_by(CHEBI:16325)
GO:0004725	protein tyrosine phosphatase activity	activated_by(CHEBI:16356)
GO:0038181	bile acid receptor activity	activated_by(CHEBI:16755)
GO:0008553	hydrogen-exporting ATPase activity, phosphorylative mechanism	activated_by(CHEBI:17234)
GO:0031284	positive regulation of guanylate cyclase activity	activated_by(CHEBI:17489)
GO:0004672	protein kinase activity	activated_by(CHEBI:17489)
GO:0005515	protein binding	activated_by(CHEBI:17489)
GO:0015233	pantothenate transmembrane transporter activity	activated_by(CHEBI:17634)
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity	activated_by(CHEBI:18291)
GO:0004359	glutaminase activity	activated_by(CHEBI:18302)
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	activated_by(CHEBI:18420)
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	activated_by(CHEBI:18420)
GO:0000175	3'-5'-exoribonuclease activity	activated_by(CHEBI:18420)
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	activated_by(CHEBI:18420)
GO:0008821	crossover junction endodeoxyribonuclease activity	activated_by(CHEBI:18420)
GO:0004371	glycerone kinase activity	activated_by(CHEBI:18420)
GO:0004651	polynucleotide 5'-phosphatase activity	activated_by(CHEBI:18420)
GO:0016791	phosphatase activity	activated_by(CHEBI:18420)
GO:0004672	protein kinase activity	activated_by(CHEBI:18420)
GO:0030284	estrogen receptor activity	activated_by(CHEBI:23965
GO:0043547	positive regulation of GTPase activity	activated_by(CHEBI:26034)
GO:0017112	Rab guanyl-nucleotide exchange factor activity	activated_by(CHEBI:26034)
GO:0046403	polynucleotide 3'-phosphatase activity	activated_by(CHEBI:26710)
